4,2024-04-18 16:29:29
X1(Frequency),Y1(Xita),X2(Frequency),Y2(R)
4.0000000000e+03,4.0211143080e-01,4.0000000000e+03,5.4822450126e-01
4.7200000000e+03,4.0154128831e-01,4.7200000000e+03,5.4875747609e-01
5.5696000000e+03,3.7180563790e-01,5.5696000000e+03,5.4900255924e-01
6.5721280000e+03,3.1764308389e-01,6.5721280000e+03,5.4944644360e-01
7.7551110400e+03,2.4932662386e-01,7.7551110400e+03,5.5069721404e-01
9.1510310272e+03,1.8156474530e-01,9.1510310272e+03,5.5090776609e-01
1.0798216612e+04,1.1179132943e-01,1.0798216612e+04,5.5030804748e-01
1.2741895602e+04,3.3280156693e-02,1.2741895602e+04,5.5174309307e-01
1.5035436811e+04,-6.0806561732e-02,1.5035436811e+04,5.5246031112e-01
1.7741815437e+04,-1.4708489845e-01,1.7741815437e+04,5.5280782152e-01
2.0935342215e+04,-2.4612170507e-01,2.0935342215e+04,5.5256509809e-01
2.4703703814e+04,-3.6824069366e-01,2.4703703814e+04,5.5409644385e-01
2.9150370500e+04,-5.1215421077e-01,2.9150370500e+04,5.5527018338e-01
3.4397437191e+04,-6.8040710451e-01,3.4397437191e+04,5.5740330310e-01
4.0588975885e+04,-8.7497165930e-01,4.0588975885e+04,5.5909019076e-01
4.7894991544e+04,-1.1071563475e+00,4.7894991544e+04,5.5876831838e-01
5.6516090022e+04,-1.3686557519e+00,5.6516090022e+04,5.5744803652e-01
6.6688986226e+04,-1.6608198151e+00,6.6688986226e+04,5.5673187585e-01
7.8693003747e+04,-1.9795943667e+00,7.8693003747e+04,5.5674627005e-01
9.2857744421e+04,-2.3651788300e+00,9.2857744421e+04,5.5494476000e-01
1.0957213842e+05,-2.7998922116e+00,1.0957213842e+05,5.5234937843e-01
1.2929512333e+05,-3.2478420149e+00,1.2929512333e+05,5.5093991673e-01
1.5256824553e+05,-3.6906163501e+00,1.5256824553e+05,5.4906666872e-01
1.8003052973e+05,-4.1188165267e+00,1.8003052973e+05,5.4657566883e-01
2.1243602508e+05,-4.5292507078e+00,2.1243602508e+05,5.4465587900e-01
2.5067450959e+05,-4.9498236344e+00,2.5067450959e+05,5.4307732942e-01
2.9579592132e+05,-5.4407105578e+00,2.9579592132e+05,5.4091590898e-01
3.4903918716e+05,-6.2151443413e+00,3.4903918716e+05,5.3799613473e-01
4.1186624084e+05,-5.6275698626e+00,4.1186624084e+05,5.2469887537e-01
4.8600216420e+05,-5.6787433176e+00,4.8600216420e+05,5.1676811716e-01
5.7348255375e+05,-7.4235350454e+00,5.7348255375e+05,5.2130246581e-01
6.7670941343e+05,-9.2686850523e+00,6.7670941343e+05,5.2386057849e-01
7.9851710784e+05,-1.1084379768e+01,7.9851710784e+05,5.2314011788e-01
9.4225018726e+05,-1.3037757710e+01,9.4225018726e+05,5.2103545233e-01
1.1118552210e+06,-1.5278689019e+01,1.1118552210e+06,5.1831353052e-01
1.3119891607e+06,-1.7180300714e+01,1.3119891607e+06,5.1329210278e-01
1.5481472097e+06,-1.9115826754e+01,1.5481472097e+06,5.0734263513e-01
1.8268137074e+06,-2.1849587109e+01,1.8268137074e+06,5.0265034661e-01
2.1556401747e+06,-2.5405007651e+01,2.1556401747e+06,4.9799301221e-01
2.5436554062e+06,-2.9876851923e+01,2.5436554062e+06,4.9220152095e-01
3.0015133793e+06,-3.5274447443e+01,3.0015133793e+06,4.8664785986e-01
3.5417857876e+06,-4.1656610392e+01,3.5417857876e+06,4.8204907020e-01
4.1793072293e+06,-4.9665036997e+01,4.1793072293e+06,4.7812369063e-01
4.9315825306e+06,-5.7113435916e+01,4.9315825306e+06,4.6487920659e-01
5.8192673861e+06,-6.4546252747e+01,5.8192673861e+06,4.4039726705e-01
6.8667355157e+06,-7.4746039345e+01,6.8667355157e+06,4.1869188687e-01
8.1027479085e+06,-8.8712485163e+01,8.1027479085e+06,4.0357989319e-01
9.5612425320e+06,-1.0663867723e+02,9.5612425320e+06,3.9672401488e-01
1.0000000000e+07,-1.2550915619e+02,1.0000000000e+07,4.1039513482e-01